@relation NormalizedData_MineLIWC_1221

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute f65 numeric
@attribute f66 numeric
@attribute f67 numeric
@attribute f68 numeric
@attribute f69 numeric
@attribute f70 numeric
@attribute f71 numeric
@attribute f72 numeric
@attribute f73 numeric
@attribute f74 numeric
@attribute f75 numeric
@attribute f76 numeric
@attribute f77 numeric
@attribute f78 numeric
@attribute label {patient,healthy}

@data
0.178994,0.072523,0.054007,0.040891,0.004629,0.008487,0,0,0.018517,0.007715,0.040891,0.034719,0.018517,0.02546,0.003086,0.060179,0.010801,0.006172,0.006944,0.002315,0.009258,0.013116,0.010801,0.002315,0.000772,0.000772,0.000772,0.047835,0.008487,0.003086,0.003086,0.001543,0.026232,0.003858,0.003858,0.003086,0.008487,0.004629,0.005401,0.008487,0.003086,0.003858,0,0.006944,0.000772,0.001543,0,0.003086,0.032404,0.016974,0.006172,0.006944,0.004629,0.001543,0.008487,0.043205,0.011573,0.050149,0.012344,0.020831,0.016974,0.011573,0.01543,0.003858,0.003858,0,0,0.010801,0,0,0.007715,0.003086,0,0,0.185937,0.316325,0.043977,0.351044,patient
0.354255,0.139888,0.103603,0.076389,0.00191,0.013846,0.008116,0.003342,0.036285,0.023872,0.05395,0.063499,0.05586,0.045834,0.012891,0.126997,0.01862,0.010981,0.012891,0.006207,0.008116,0.023394,0.017665,0.005729,0.000477,0.002387,0.001432,0.057769,0.003819,0.004297,0.006684,0.003819,0.080686,0.022439,0.017665,0.009549,0.016233,0.005729,0.01862,0.014323,0.004297,0.004297,0.005252,0.013368,0.002865,0.006207,0,0.005729,0.029123,0.010504,0.004774,0.007161,0.006207,0.001432,0.021484,0.096919,0.009071,0.057292,0.011458,0.01862,0.027691,0.009549,0.013846,0.003342,0.007161,0.000955,0.000477,0.014323,0.000477,0.000955,0.010026,0.002387,0.000477,0,0.192883,0.551912,0.061589,0.58581,patient
0.194289,0.069807,0.055162,0.047352,0.000488,0.005858,0.000976,0.000488,0.014645,0.019038,0.031731,0.038077,0.023432,0.020991,0.022455,0.078594,0.016109,0.008299,0.009763,0.005858,0.007811,0.013669,0.006346,0.007322,0.001464,0.001464,0.000976,0.025384,0.001953,0.000976,0.003905,0.000488,0.05565,0.022944,0.009275,0.006834,0.006834,0.003905,0.009763,0.007811,0.002441,0.004882,0.000488,0.009763,0.000976,0.004882,0,0.003417,0.020015,0.004393,0.00537,0.008299,0.001464,0.002929,0.015621,0.060044,0.006346,0.055162,0.00537,0.015621,0.035148,0.009763,0.009275,0.000488,0.002929,0.000488,0.000976,0.001953,0,0,0.000976,0.000976,0,0,0.175738,0.34269,0.052722,0.378814,patient
0.288447,0.107012,0.077506,0.043597,0.005725,0.005725,0.017175,0.005285,0.029505,0.029505,0.054607,0.042717,0.028624,0.049322,0.006165,0.089837,0.016734,0.009248,0.009688,0.008367,0.007046,0.020698,0.013652,0.007046,0.00044,0.00044,0.003083,0.077947,0.010569,0.004404,0.022459,0.006165,0.045359,0.007927,0.003083,0.008367,0.012771,0.004844,0.020257,0.016294,0.007046,0.005725,0.003523,0.008808,0.003523,0.002202,0,0.001321,0.041395,0.017615,0.010569,0.011009,0.007046,0.00044,0.010569,0.070901,0.019817,0.092919,0.015854,0.028624,0.050643,0.014092,0.005285,0.002642,0.004844,0.000881,0.000881,0.003963,0,0.00044,0.001762,0.001321,0.00044,0,0.173508,0.471643,0.041836,0.497626,patient
0.171492,0.064309,0.049304,0.038586,0.003215,0.004287,0,0.003215,0.015006,0.009646,0.041801,0.028939,0.01179,0.018221,0.01179,0.05895,0.019293,0.010718,0.004287,0.001072,0.008575,0.027867,0.024652,0.003215,0.001072,0.002144,0,0.036442,0.003215,0.004287,0.002144,0.002144,0.03537,0.009646,0.007503,0.004287,0.005359,0.002144,0.010718,0.008575,0.005359,0,0.002144,0.010718,0.002144,0.006431,0.001072,0,0.027867,0.013934,0.007503,0.006431,0.005359,0,0.012862,0.040729,0.004287,0.052519,0.004287,0.026796,0.020365,0.012862,0.01179,0,0.004287,0,0,0.007503,0,0,0.006431,0.001072,0,0,0.212221,0.306541,0.052519,0.337624,patient
0.29574,0.107103,0.07092,0.051622,0.00193,0.010131,0.003377,0.00386,0.036184,0.025087,0.052587,0.06706,0.034736,0.032324,0.020745,0.112893,0.018333,0.010131,0.009166,0.004342,0.009649,0.020745,0.013509,0.006754,0.001447,0.002412,0.00193,0.047762,0.00386,0.00386,0.003377,0.00386,0.062718,0.014473,0.010131,0.009649,0.013026,0.005307,0.020263,0.007237,0.002412,0.00386,0.000965,0.006754,0.000965,0.001447,0.000482,0.002895,0.032324,0.011579,0.00386,0.005789,0.011096,0.001447,0.018333,0.082498,0.011096,0.068025,0.013991,0.029912,0.02557,0.007719,0.013509,0.002895,0.002412,0.000965,0.000482,0.012061,0.000965,0.000482,0.007237,0.002895,0,0,0.189602,0.460255,0.056929,0.497885,patient
0.188463,0.077153,0.050632,0.030138,0.005224,0.012859,0.002009,0.000402,0.026521,0.019288,0.037773,0.033755,0.01969,0.018886,0.002813,0.067509,0.009644,0.008439,0.013261,0.004018,0.008037,0.021699,0.015672,0.006028,0.000402,0.002009,0.002411,0.043399,0.00442,0.001206,0.002813,0.002813,0.035362,0.006831,0.006831,0.005224,0.006429,0.006028,0.00884,0.020092,0.008439,0.006429,0.004018,0.008439,0.001607,0.002009,0,0.004018,0.025316,0.010046,0.002009,0.007635,0.005626,0.001206,0.013663,0.05023,0.010046,0.046613,0.006429,0.017279,0.023709,0.003617,0.012055,0,0.001607,0.000804,0.000804,0.009644,0.000402,0.001607,0.004018,0.003617,0,0,0.161942,0.320669,0.036567,0.363666,patient
0.160692,0.056104,0.032554,0.017316,0.000693,0.011775,0.000693,0.002078,0.02355,0.020086,0.03948,0.030476,0.009004,0.014545,0.004848,0.0658,0.008312,0.003463,0.01316,0.001385,0.003463,0.015238,0.009697,0.005541,0.001385,0.002078,0.001385,0.031861,0.001385,0.000693,0.001385,0.000693,0.030476,0.006234,0.006926,0.006234,0.004156,0.006234,0.006234,0.009004,0.001385,0.006926,0.000693,0.011775,0.001385,0.002078,0.000693,0.006926,0.02632,0.006234,0.004848,0.011082,0.006234,0,0.007619,0.050562,0.007619,0.056104,0.011775,0.02632,0.018701,0.009697,0.013853,0.002771,0.000693,0.000693,0.002078,0.003463,0.000693,0.001385,0.001385,0,0,0,0.174544,0.283981,0.046407,0.324154,patient
0.233966,0.087075,0.062845,0.041645,0,0.004543,0.004543,0.012115,0.02423,0.031044,0.055274,0.031044,0.020444,0.017415,0.009086,0.077989,0.018172,0.009086,0.006057,0.006815,0.009086,0.017415,0.009843,0.006815,0.001514,0.003029,0.000757,0.048459,0.003029,0.0053,0.006057,0.003029,0.046945,0.0106,0.002272,0.008329,0.015901,0.008329,0.007572,0.018172,0.011358,0.003786,0.003029,0.012872,0.003786,0.003786,0,0.0053,0.028773,0.0106,0.004543,0.007572,0.006815,0,0.015901,0.061331,0.006057,0.06436,0.009843,0.036344,0.018929,0.006815,0.013629,0.006057,0.001514,0,0,0.006815,0,0.002272,0.003786,0,0,0,0.211251,0.391458,0.051488,0.43386,patient
0.119777,0.03456,0.021778,0.017043,0.00142,0.002367,0.000473,0.000473,0.012783,0.014676,0.022724,0.020831,0.010889,0.014203,0.011836,0.047816,0.010889,0.003787,0.003314,0.002841,0.002367,0.013729,0.009942,0.003314,0.000473,0.00142,0.000473,0.026512,0.002367,0.004734,0,0.00142,0.022724,0.003314,0.002841,0.004261,0.006628,0.00142,0.009942,0.011362,0.003314,0.006155,0.00142,0.002841,0.001894,0,0.000473,0.000473,0.021778,0.010889,0.003787,0.003314,0.003787,0.000947,0.004734,0.035507,0.005208,0.037874,0.008522,0.010889,0.018464,0.008995,0.007575,0.003787,0.000473,0.000947,0,0.004261,0,0.000473,0.001894,0.00142,0,0,0.127352,0.21825,0.036927,0.242395,patient
